,date,state,name,wholesalePrice,retailPrice,shoppingmallPrice,units,image
107,2024-05-02,New Delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
108,2024-05-03,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
109,2024-05-03,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
110,2024-05-03,New Delhi,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
111,2024-05-03,New Delhi,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
112,2024-05-03,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
113,2024-05-03,New Delhi,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
114,2024-05-03,New Delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
115,2024-05-03,New Delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
116,2024-05-03,New Delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
117,2024-05-03,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
118,2024-05-03,New Delhi,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
119,2024-05-03,New Delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
120,2024-05-03,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
121,2024-05-03,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
122,2024-05-03,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
123,2024-05-03,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
124,2024-05-03,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
125,2024-05-03,New Delhi,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
126,2024-05-03,New Delhi,Carrot,44,51 - 56,53 - 73,1kg,resource/images/vegetables/carrot-64.png
127,2024-05-03,New Delhi,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
128,2024-05-03,New Delhi,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
129,2024-05-03,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
130,2024-05-03,New Delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
131,2024-05-03,New Delhi,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
132,2024-05-03,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
133,2024-05-03,New Delhi,Corn,27,31 - 34,32 - 45,1kg,resource/images/vegetables/corn-64.png
134,2024-05-03,New Delhi,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
135,2024-05-03,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
136,2024-05-03,New Delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
137,2024-05-03,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
138,2024-05-03,New Delhi,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
139,2024-05-03,New Delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
140,2024-05-03,New Delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
141,2024-05-03,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
142,2024-05-03,New Delhi,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
143,2024-05-03,New Delhi,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
144,2024-05-03,New Delhi,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
145,2024-05-03,New Delhi,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
146,2024-05-03,New Delhi,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
147,2024-05-03,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
148,2024-05-03,New Delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
149,2024-05-03,New Delhi,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
150,2024-05-03,New Delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
151,2024-05-03,New Delhi,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
152,2024-05-03,New Delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
153,2024-05-03,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
154,2024-05-03,New Delhi,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
155,2024-05-03,New Delhi,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
156,2024-05-03,New Delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
157,2024-05-03,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
158,2024-05-03,New Delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
159,2024-05-03,New Delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
160,2024-05-03,New Delhi,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
161,2024-05-03,New Delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
162,2024-05-04,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
163,2024-05-04,New Delhi,Onion Small,32,37 - 41,38 - 53,1kg,resource/images/vegetables/onionsmall-64.png
164,2024-05-04,New Delhi,Tomato,26,30 - 33,31 - 43,1kg,resource/images/vegetables/tomato-64.png
165,2024-05-04,New Delhi,Green Chilli,43,49 - 55,52 - 71,1kg,resource/images/vegetables/greenchili-64.png
166,2024-05-04,New Delhi,Beetroot,34,39 - 43,41 - 56,1kg,resource/images/vegetables/beetroot-64.png
167,2024-05-04,New Delhi,Potato,30,35 - 38,36 - 50,1kg,resource/images/vegetables/potato-64.png
168,2024-05-04,New Delhi,Raw Banana (Plantain),7,8 - 9,8 - 12,1kg,resource/images/vegetables/plantain-64.png
169,2024-05-04,New Delhi,Amaranth Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/amaranthleaves-64.png
170,2024-05-04,New Delhi,Amla,70,81 - 89,84 - 116,1kg,resource/images/vegetables/amla-64.png
171,2024-05-04,New Delhi,Ash gourd,16,18 - 20,19 - 26,1kg,resource/images/vegetables/ashgourd-64.png
172,2024-05-04,New Delhi,Baby Corn,50,58 - 64,60 - 83,1kg,resource/images/vegetables/babycorn-64.png
173,2024-05-04,New Delhi,Banana Flower,20,23 - 25,24 - 33,1kg,resource/images/vegetables/bananaflower-64.png
174,2024-05-04,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
175,2024-05-04,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
176,2024-05-04,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
177,2024-05-04,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
178,2024-05-04,New Delhi,Broad Beans,27,31 - 34,32 - 45,1kg,resource/images/vegetables/broadbeans-64.png
179,2024-05-04,New Delhi,Cabbage,22,25 - 28,26 - 36,1kg,resource/images/vegetables/cabbage-64.png
180,2024-05-04,New Delhi,Carrot,44,51 - 56,53 - 73,1kg,resource/images/vegetables/carrot-64.png
181,2024-05-04,New Delhi,Cauliflower,26,30 - 33,31 - 43,1kg,resource/images/vegetables/cauliflower-64.png
182,2024-05-04,New Delhi,Cluster beans,42,48 - 53,50 - 69,1kg,resource/images/vegetables/clusterbeans-64.png
183,2024-05-04,New Delhi,Coconut,34,39 - 43,41 - 56,1kg,resource/images/vegetables/coconut-64.png
184,2024-05-04,New Delhi,Colocasia Leaves,16,18 - 20,19 - 26,1kg,resource/images/vegetables/colocasialeaves-64.png
185,2024-05-04,New Delhi,Colocasia,26,30 - 33,31 - 43,1kg,resource/images/vegetables/colocasia-64.png
186,2024-05-04,New Delhi,Coriander Leaves,8,9 - 10,10 - 13,1kg,resource/images/vegetables/corianderleaves-64.png
187,2024-05-04,New Delhi,Corn,27,31 - 34,32 - 45,1kg,resource/images/vegetables/corn-64.png
188,2024-05-04,New Delhi,Cucumber,27,31 - 34,32 - 45,1kg,resource/images/vegetables/cucumber-64.png
189,2024-05-04,New Delhi,Curry Leaves,29,33 - 37,35 - 48,1kg,resource/images/vegetables/curryleaves-64.png
190,2024-05-04,New Delhi,Dill Leaves,13,15 - 17,16 - 21,1kg,resource/images/vegetables/dillleaves-64.png
191,2024-05-04,New Delhi,Drumsticks,40,46 - 51,48 - 66,1kg,resource/images/vegetables/drumsticks-64.png
192,2024-05-04,New Delhi,Brinjal,24,28 - 30,29 - 40,1kg,resource/images/vegetables/brinjal-64.png
193,2024-05-04,New Delhi,Brinjal (Big),26,30 - 33,31 - 43,1kg,resource/images/vegetables/brinjalbig-64.png
194,2024-05-04,New Delhi,Elephant Yam,27,31 - 34,32 - 45,1kg,resource/images/vegetables/elephantyam-64.png
195,2024-05-04,New Delhi,Fenugreek Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/fenugreekleaves-64.png
196,2024-05-04,New Delhi,French Beans,51,59 - 65,61 - 84,1kg,resource/images/vegetables/frenchbeans-64.png
197,2024-05-04,New Delhi,Garlic,156,179 - 198,187 - 257,1kg,resource/images/vegetables/garlic-64.png
198,2024-05-04,New Delhi,Ginger,116,133 - 147,139 - 191,1kg,resource/images/vegetables/ginger-64.png
199,2024-05-04,New Delhi,Onion Green,45,52 - 57,54 - 74,1kg,resource/images/vegetables/oniongreen-64.png
200,2024-05-04,New Delhi,Green Peas,42,48 - 53,50 - 69,1kg,resource/images/vegetables/greenpeas-64.png
201,2024-05-04,New Delhi,Ivy Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/ivygourd-64.png
202,2024-05-04,New Delhi,Lemon (Lime),63,72 - 80,76 - 104,1kg,resource/images/vegetables/lemon-64.png
203,2024-05-04,New Delhi,Mango Raw,26,30 - 33,31 - 43,1kg,resource/images/vegetables/mangoraw-64.png
204,2024-05-04,New Delhi,Mint Leaves,5,6 - 6,6 - 8,1kg,resource/images/vegetables/mintleaves-64.png
205,2024-05-04,New Delhi,Mushroom,91,105 - 116,109 - 150,1kg,resource/images/vegetables/mushroom-64.png
206,2024-05-04,New Delhi,Mustard Leaves,15,17 - 19,18 - 25,1kg,resource/images/vegetables/mustardleaves-64.png
207,2024-05-04,New Delhi,Ladies Finger,37,43 - 47,44 - 61,1kg,resource/images/vegetables/ladiesfinger-64.png
208,2024-05-04,New Delhi,Pumpkin,23,26 - 29,28 - 38,1kg,resource/images/vegetables/pumpkin-64.png
209,2024-05-04,New Delhi,Radish,27,31 - 34,32 - 45,1kg,resource/images/vegetables/radish-64.png
210,2024-05-04,New Delhi,Ridge Gourd,34,39 - 43,41 - 56,1kg,resource/images/vegetables/ridgegourd-64.png
211,2024-05-04,New Delhi,Shallot (Pearl Onion),32,37 - 41,38 - 53,1kg,resource/images/vegetables/shallot-64.png
212,2024-05-04,New Delhi,Snake Gourd,25,29 - 32,30 - 41,1kg,resource/images/vegetables/snakegourd-64.png
213,2024-05-04,New Delhi,Sorrel Leaves,12,14 - 15,14 - 20,1kg,resource/images/vegetables/sorrelleaves-64.png
214,2024-05-04,New Delhi,Spinach,15,17 - 19,18 - 25,1kg,resource/images/vegetables/spinach-64.png
215,2024-05-04,New Delhi,Sweet Potato,36,41 - 46,43 - 59,1kg,resource/images/vegetables/sweetpotato-64.png
216,2024-05-05,New Delhi,Onion Big,25,29 - 32,30 - 41,1kg,resource/images/vegetables/onionbig-64.png
217,2024-05-05,New Delhi,Onion Small,38,44 - 48,46 - 63,1kg,resource/images/vegetables/onionsmall-64.png
218,2024-05-05,New Delhi,Tomato,25,29 - 32,30 - 41,1kg,resource/images/vegetables/tomato-64.png
219,2024-05-05,New Delhi,Green Chilli,40,46 - 51,48 - 66,1kg,resource/images/vegetables/greenchili-64.png
220,2024-05-05,New Delhi,Beetroot,40,46 - 51,48 - 66,1kg,resource/images/vegetables/beetroot-64.png
221,2024-05-05,New Delhi,Potato,27,31 - 34,32 - 45,1kg,resource/images/vegetables/potato-64.png
222,2024-05-05,New Delhi,Raw Banana (Plantain),8,9 - 10,10 - 13,1kg,resource/images/vegetables/plantain-64.png
223,2024-05-05,New Delhi,Amaranth Leaves,11,13 - 14,13 - 18,1kg,resource/images/vegetables/amaranthleaves-64.png
224,2024-05-05,New Delhi,Amla,60,69 - 76,72 - 99,1kg,resource/images/vegetables/amla-64.png
225,2024-05-05,New Delhi,Ash gourd,18,21 - 23,22 - 30,1kg,resource/images/vegetables/ashgourd-64.png
226,2024-05-05,New Delhi,Baby Corn,49,56 - 62,59 - 81,1kg,resource/images/vegetables/babycorn-64.png
227,2024-05-05,New Delhi,Banana Flower,18,21 - 23,22 - 30,1kg,resource/images/vegetables/bananaflower-64.png
228,2024-05-05,New Delhi,Capsicum,49,56 - 62,59 - 81,1kg,resource/images/vegetables/capsicum-64.png
229,2024-05-05,New Delhi,Bitter Gourd,32,37 - 41,38 - 53,1kg,resource/images/vegetables/bittergourd-64.png
230,2024-05-05,New Delhi,Bottle Gourd,24,28 - 30,29 - 40,1kg,resource/images/vegetables/bottlegourd-64.png
231,2024-05-05,New Delhi,Butter Beans,49,56 - 62,59 - 81,1kg,resource/images/vegetables/butterbeans-64.png
232,2024-05-05,New Delhi,Broad Beans,29,33 - 37,35 - 48,1kg,resource/images/vegetables/broadbeans-64.png
